INC000002530297;Atrasou;00 00:46:45;7259INB-APM-CX0000LX151;CTRLM-SIAPM-ISCP_REPORT-SICVE-INTRA-MP-ABEND ORDER ID 0l5yj;00547/2017_CEPTIBR_CTI_SUP_IEPC005_Inc_ResolucaoD45.;7/1/2019 12:00:09
INC000002530468;Atrasou;00 02:54:25;7259APL-SIORM;MAINVIEW-SIORM-BRP4-AORMQP1S00    AORMQP1S00 P4DF  FILA  CIPNPC.XMIT.QUEUE.05.A ACUMULADA  (68) -;03321/2017_CEPTIBR_CPM_PRO_IEPC005_Inc_ResolucaoD60.;7/1/2019 14:08:12
INC000002530725;Atrasou;00 01:30:41;7259MOD-SIPLD-BATCH;CTRLM-SIPLD-PLD02MZB-MF-ABEND ORDER ID BBDYD;03321/2017_CEPTIBR_CPM_PRO_IEPC005_Inc_ResolucaoD60.;7/1/2019 21:07:15
INC000002530743;Atrasou;00 02:13:11;7259MOD-SIPCS-BATCH;CTRLM-SIPCS-PCSTRBPO-MF-ABEND ORDER ID 1K313;00547/2017_CEPTIBR_CTI_SUP_IEPC005_Inc_ResolucaoD45.;7/1/2019 21:59:10
INC000002530865;Atrasou;00 02:14:48;7259MOD-SIPCS-BATCH;CTRLM-SIPCS-PCSTRGDB-MF-ABEND ORDER ID 1K33J;00547/2017_CEPTIBR_CTI_SUP_IEPC005_Inc_ResolucaoD45.;8/1/2019 01:06:13
INC000002530952;Atrasou;00 01:00:42;7259SLB-CX0000LX815;CTRLM-MANUT-POSPRD07_MD_VAC-MP-ABEND ORDER ID 0l80l;03321/2017_CEPTIBR_CPM_PRO_IEPC005_Inc_ResolucaoD60.;8/1/2019 03:09:12
INC000002531002;Atrasou;00 01:43:35;7259MOD-SIAPI-BATCH;CTRLM-SIAPI-API96MZB-MF-ABEND ORDER ID BB75G;03321/2017_CEPTIBR_CPM_PRO_IEPC005_Inc_ResolucaoD60.;8/1/2019 04:53:09
INC000002531041;Atrasou;00 01:14:53;7259MOD-SICTB-BATCH;CTRLM-SICTB-CTB01MZB-MF-TEMPO EXCEDIDO ORDER ID BB70J;03321/2017_CEPTIBR_CPM_PRO_IEPC005_Inc_ResolucaoD60.;8/1/2019 06:35:09
INC000002531081;Atrasou;00 01:32:57;7259MOD-SICTB-BATCH;CTRLM-SICTB-CTB04MZC-MF-ABEND ORDER ID BB70N;03321/2017_CEPTIBR_CPM_PRO_IEPC005_Inc_ResolucaoD60.;8/1/2019 08:44:59
INC000002531117;Atrasou;00 02:06:06;7259FUN-BACKUP-MP;CTRLM-BKPMP-BKIORATQS01SF2-MP-ABEND ORDER ID 0l8d2;03321/2017_CEPTIBR_CPM_PRO_IEPC005_Inc_ResolucaoD60.;8/1/2019 09:52:02
INC000002531154;Atrasou;00 02:05:00;7259FUN-BACKUP-MP;CTRLM-BKPMP-BKIORAPRD70_DCUM-MP-ABEND ORDER ID 0l8ec;03321/2017_CEPTIBR_CPM_PRO_IEPC005_Inc_ResolucaoD60.;8/1/2019 11:02:03
INC000002531163;Atrasou;00 01:02:13;7259INB-CONNECTOR-SAILPOINT-CX0000LX997-CETAD;SAILPOINT-SIGAL-cx0000lx997-SailPoint Connector Gateway Falha de conexao;00547/2017_CEPTIBR_CTI_SUP_IEPC005_Inc_ResolucaoD45.;8/1/2019 11:29:09
INC000002531166;Atrasou;00 00:59:18;7259SLM-CXEXTRUX720;ZBXPRD - SNI -  - INDISPONIBILIDADE NA;00547/2017_CEPTIBR_CTI_SUP_IEPC005_Inc_ResolucaoD45.;8/1/2019 11:34:30
INC000002531167;Atrasou;00 01:03:35;7259APL-SIPCS;MAINVIEW-SIBAR-BRP5-ABARQ1ZS00 P5DF FILA LQ.REQ.SIPCS.FATURA_CARTAO ACUMULADA;03321/2017_CEPTIBR_CPM_PRO_IEPC005_Inc_ResolucaoD60.;8/1/2019 11:35:05
INC000002531171;Atrasou;00 01:24:28;7259APL-SIATC;SINEIRO - PAINEL DE INDICADORES - ATENDIMENTO - OCORRÊNCIA: VOLUME DE TRANSAÇÕES DO SIATC;03321/2017_CEPTIBR_CPM_PRO_IEPC005_Inc_ResolucaoP45.;8/1/2019 11:36:27
INC000002531173;Atrasou;00 00:47:28;7259SLB-CBRSVITRLX001;ZBXPRD - SNI - cbrsvitrlx001.intra.caixa.gov.br - Disco: Porcentagem livre no filesystem /var;00547/2017_CEPTIBR_CTI_SUP_IEPC005_Inc_ResolucaoD45.;8/1/2019 11:41:52
INC000002531177;Atrasou;00 00:45:47;7259APL-SIATC;CRISE - PAINEL DE INDICADORES - ATENDIMENTO - OCORRÊNCIA: VOLUME DE TRANSAÇÕES DO APP CARTÕES;03321/2017_CEPTIBR_CPM_PRO_IEPC005_Inc_ResolucaoP45.;8/1/2019 11:48:21
